Row,Best_Algorithm
334,3
335,7
336,3
337,2
338,3
339,7
340,5
341,7
342,7
343,3
344,5
345,7
346,7
347,7
348,6
349,7
350,4
351,5
352,3
353,4
354,1
355,3
356,4
357,6
358,5
359,7
360,3
361,7
362,4
363,6
364,4
365,3
366,4
367,7
368,6
369,5
370,1
371,7
372,7
373,6
374,3
375,5
376,5
377,3
378,7
379,6
380,4
381,1
382,3
383,6
384,4
385,3
386,1
387,3
388,7
389,2
390,3
391,6
392,3
393,7
394,6
395,1
396,7
397,5
398,3
399,7
400,4
401,3
402,3
403,7
404,2
405,6
406,3
407,4
408,4
409,7
410,7
411,4
412,4
413,7
414,6
415,2
416,2
417,4
418,6
419,6
420,7
421,7
422,2
423,7
424,3
425,3
426,6
427,6
428,3
429,2
430,7
431,6
432,7
433,7
434,2
435,2
436,6
437,3
438,3
439,1
440,5
441,3
442,1
443,3
444,6
445,3
446,2
447,7
448,1
449,5
450,5
451,7
452,3
453,7
454,1
455,6
456,6
457,6
458,6
459,7
460,3
461,5
462,2
463,3
464,7
465,6
466,1
467,3
468,6
469,3
470,3
471,3
472,5
473,3
474,7
475,7
476,6
477,1
478,4
479,4
480,5
481,6
482,2
483,6
484,6
485,6
486,6
487,7
488,2
489,5
490,6
491,7
492,3
493,1
494,1
495,6
496,1
497,4
498,1
499,2
500,3
501,7
502,3
503,4
504,6
505,2
506,2
507,5
508,4
509,4
510,6
511,2
512,5
513,3
514,6
515,3
516,7
517,2
518,6
519,3
520,3
521,3
522,2
523,5
524,4
525,7
526,5
527,7
528,6
529,3
530,4
531,7
532,7
533,3
534,7
535,3
536,2
537,4
538,6
539,5
540,2
541,7
542,7
543,7
544,7
545,3
546,4
547,5
548,5
549,6
550,3
551,5
552,5
553,6
554,2
555,3
556,2
557,4
558,4
559,1
560,7
561,7
562,4
563,4
564,1
565,3
566,7
567,3
568,3
569,6
570,7
571,3
572,4
573,7
574,3
575,4
576,7
577,5
578,2
579,7
580,4
581,7
582,4
583,7
584,3
585,4
586,7
587,1
588,3
589,4
590,7
591,3
592,3
593,7
594,1
595,3
596,7
597,7
598,3
599,3
600,3
601,7
602,4
603,7
604,3
605,3
606,3
607,6
608,3
609,5
610,5
611,2
612,3
613,7
614,7
615,3
616,7
617,2
618,3
619,5
620,3
621,7
622,6
623,3
624,2
625,3
626,4
627,4
628,6
629,6
630,3
631,1
632,5
633,5
634,4
635,3
636,2
637,6
638,4
639,7
640,5
641,6
642,7
643,7
644,5
645,7
646,5
647,7
648,7
649,3
650,7
651,7
652,4
653,3
654,5
655,7
656,4
657,4
658,7
659,4
660,4
661,3
662,7
663,6
664,4
665,7
666,1
667,6
668,7
669,3
670,6
671,6
672,2
673,7
674,5
675,3
676,1
677,7
678,3
679,7
680,6
681,6
682,5
683,7
684,5
685,2
686,3
687,3
688,1
689,4
690,2
691,7
692,7
693,7
694,7
695,5
696,7
697,1
698,6
699,6
700,7
701,5
702,3
703,7
704,7
705,6
706,1
707,1
708,3
709,7
710,7
711,7
712,4
713,7
714,3
715,6
716,6
717,6
718,7
719,7
720,5
721,7
722,6
723,7
724,3
725,2
726,7
727,7
728,3
729,2
730,7
731,3
732,5
733,3
734,3
735,7
736,3
737,7
738,6
739,3
740,3
741,3
742,7
743,3
744,4
745,5
746,6
747,4
748,7
749,5
750,1
751,3
752,7
753,2
754,2
755,6
756,2
757,7
758,3
759,5
760,4
761,6
762,7
763,3
764,6
765,4
766,2
767,1
768,2
769,1
770,6
771,7
772,2
773,7
774,3
775,7
776,7
777,5
778,7
779,7
780,7
781,6
782,3
783,6
784,2
785,7
786,3
787,5
788,7
789,3
790,6
791,7
792,4
793,3
794,3
795,3
796,7
797,4
798,7
799,7
800,6
801,7
802,6
803,6
804,3
805,3
806,6
807,7
808,6
809,5
810,6
811,7
812,4
813,5
814,7
815,5
816,7
817,5
818,6
819,5
820,6
821,2
822,7
823,4
824,6
825,7
826,7
827,7
828,3
829,3
830,7
831,7
832,1
833,7
834,7
835,7
836,5
837,3
838,7
839,7
840,7
841,4
842,7
843,7
844,1
845,6
846,3
847,3
848,3
849,7
850,6
851,3
852,7
853,6
854,7
855,4
856,3
857,3
858,5
859,6
860,7
861,5
862,6
863,7
864,5
865,4
866,4
867,2
868,7
869,1
870,3
871,5
872,4
873,3
874,6
875,1
876,4
877,5
878,4
879,3
880,6
881,2
882,5
883,3
884,6
885,3
886,2
887,3
888,6
889,1
890,4
891,7
892,3
893,7
894,6
895,5
896,6
897,2
898,7
899,7
900,3
901,4
902,7
903,6
904,6
905,6
906,3
907,7
908,5
909,7
910,4
911,4
912,3
913,5
914,4
915,3
916,7
917,6
918,6
919,3
920,6
921,1
922,3
923,5
924,7
925,7
926,7
927,5
928,3
929,3
930,3
931,7
932,1
933,6
934,4
935,2
936,7
937,7
938,7
939,3
940,2
941,1
942,7
943,7
944,2
945,3
946,3
947,7
948,6
949,5
950,7
951,3
952,3
953,3
954,1
955,3
956,5
957,6
958,3
959,2
960,3
961,7
962,3
963,4
964,5
965,3
966,6
967,5
968,2
969,1
970,3
971,6
972,3
973,6
974,6
975,6
976,5
977,4
978,1
979,5
980,6
981,3
982,1
983,3
984,7
985,4
986,3
987,7
988,7
989,3
990,5
991,4
992,2
993,7
994,6
995,4
996,3
997,3
998,4
999,6
1000,5
1001,6
1002,3
1003,3
1004,6
1005,6
1006,3
1007,6
1008,3
1009,6
1010,3
1011,7
1012,3
1013,5
1014,7
1015,7
1016,4
1017,7
1018,3
1019,7
1020,6
1021,3
1022,4
1023,6
1024,1
1025,6
1026,6
1027,7
1028,7
1029,6
1030,6
1031,6
1032,7
1033,4
1034,2
1035,7
1036,6
1037,4
1038,3
1039,4
1040,7
1041,6
1042,3
1043,1
1044,6
1045,3
1046,4
1047,3
1048,3
1049,4
1050,7
1051,7
1052,4
1053,3
1054,6
1055,3
1056,3
1057,6
1058,2
1059,3
1060,3
1061,7
1062,3
1063,5
1064,3
1065,6
1066,2
1067,6
1068,1
1069,3
1070,7
1071,3
1072,3
1073,6
1074,3
1075,7
1076,7
1077,4
1078,4
1079,4
1080,3
1081,4
1082,5
1083,6
1084,6
1085,7
1086,3
1087,6
1088,2
1089,3
1090,6
1091,4
1092,6
1093,7
1094,4
1095,6
1096,2
1097,7
1098,3
1099,4
1100,5
1101,3
1102,3
1103,3
1104,2
1105,7
1106,6
1107,7
1108,3
1109,2
1110,7
1111,6
1112,4
1113,2
1114,3
1115,3
1116,6
1117,7
1118,2
1119,7
1120,4
1121,6
1122,6
1123,7
1124,6
1125,1
1126,3
1127,2
1128,2
1129,7
1130,1
1131,6
1132,3
1133,7
1134,4
1135,6
1136,2
1137,3
1138,6
1139,3
1140,4
1141,6
1142,6
1143,3
1144,7
1145,4
1146,7
1147,7
1148,2
1149,3
1150,4
1151,7
1152,7
1153,4
1154,4
1155,3
1156,7
1157,4
1158,2
1159,1
1160,6
1161,3
1162,3
1163,1
1164,6
1165,4
1166,4
1167,3
1168,1
1169,3
1170,7
1171,7
1172,7
1173,3
1174,6
1175,1
1176,1
1177,3
1178,7
1179,4
1180,3
1181,1
1182,3
1183,6
1184,6
1185,3
1186,3
1187,6
1188,3
1189,3
1190,6
1191,5
1192,1
1193,3
1194,3
1195,3
1196,3
1197,7
1198,7
1199,2
1200,4
1201,4
1202,2
1203,5
1204,2
1205,4
1206,6
1207,7
1208,6
1209,3
1210,1
1211,4
1212,7
1213,4
1214,7
1215,3
1216,5
1217,3
1218,3
1219,3
1220,6
1221,3
1222,3
1223,6
1224,7
1225,4
1226,1
1227,2
1228,6
1229,5
1230,6
1231,3
1232,3
1233,2
1234,3
1235,6
1236,4
1237,3
1238,7
1239,3
1240,3
1241,4
1242,4
1243,6
1244,4
1245,4
1246,6
1247,7
1248,2
1249,3
1250,4
1251,5
1252,7
1253,5
1254,7
1255,7
1256,3
1257,3
1258,1
1259,3
1260,5
1261,6
1262,6
1263,4
1264,4
1265,7
1266,7
1267,7
1268,7
1269,4
1270,7
1271,7
1272,6
1273,7
1274,4
1275,3
1276,7
1277,7
1278,7
1279,3
1280,7
1281,7
1282,1
1283,3
1284,6
1285,7
1286,3
1287,3
1288,6
1289,2
1290,6
1291,5
1292,7
1293,6
1294,3
1295,3
1296,2
1297,2
1298,7
1299,6
1300,7
1301,6
1302,5
1303,4
1304,5
1305,7
1306,4
1307,7
1308,6
1309,7
1310,1
1311,3
1312,6
1313,4
1314,5
1315,7
1316,4
1317,1
1318,7
1319,6
1320,7
1321,7
1322,3
1323,7
1324,3
1325,6
1326,5
1327,4
1328,6
1329,2
1330,7
1331,3
1332,7
1333,7
1334,4
1335,7
1336,6
1337,3
1338,3
1339,1
1340,7
1341,4
1342,1
1343,5
1344,6
1345,1
1346,3
1347,7
1348,6
1349,6
1350,4
1351,6
1352,2
1353,5
1354,3
1355,2
1356,1
1357,3
1358,7
1359,3
1360,3
1361,7
1362,7
1363,3
1364,6
1365,1
1366,3
1367,7
1368,4
1369,3
1370,7
1371,7
1372,5
1373,6
1374,7
1375,3
1376,4
1377,7
1378,6
1379,2
1380,1
1381,4
1382,5
1383,7
1384,3
1385,7
1386,6
1387,6
1388,4
1389,7
1390,6
1391,6
1392,1
1393,3
1394,5
1395,6
1396,2
1397,1
1398,7
1399,5
1400,4
1401,7
1402,5
1403,1
1404,5
1405,4
1406,7
1407,4
1408,1
1409,7
1410,7
1411,7
1412,3
1413,3
1414,7
1415,1
1416,3
1417,6
1418,5
1419,5
1420,2
1421,3
1422,4
1423,7
1424,6
1425,7
1426,6
1427,7
1428,3
1429,3
1430,4
1431,6
1432,5
1433,2
1434,2
1435,6
1436,7
1437,7
1438,3
1439,4
1440,6
1441,7
1442,7
1443,1
1444,6
1445,2
1446,4
1447,5
1448,5
1449,5
1450,3
1451,7
1452,6
1453,4
1454,3
1455,3
1456,4
1457,7
1458,7
1459,2
1460,6
1461,7
1462,5
1463,7
1464,2
1465,4
1466,7
1467,3
1468,7
1469,5
1470,3
1471,3
1472,5
1473,5
1474,3
1475,7
1476,4
1477,7
1478,3
1479,7
1480,3
1481,7
1482,3
1483,5
1484,1
1485,7
1486,2
1487,4
1488,5
1489,4
1490,6
1491,4
1492,2
1493,6
1494,6
1495,7
1496,5
1497,6
1498,6
1499,7
1500,7
1501,7
1502,3
1503,3
1504,6
1505,4
1506,4
1507,6
1508,7
1509,7
1510,2
1511,7
1512,6
1513,3
1514,7
1515,7
1516,3
1517,7
1518,2
1519,5
1520,6
1521,5
1522,6
1523,6
1524,3
1525,7
1526,7
1527,5
1528,7
1529,5
1530,7
1531,3
1532,5
1533,1
1534,3
1535,7
1536,7
1537,6
1538,2
1539,6
1540,4
1541,5
1542,3
1543,7
1544,6
1545,3
1546,7
1547,1
1548,7
1549,6
1550,6
1551,7
1552,7
1553,3
1554,3
1555,7
1556,4
1557,5
1558,6
1559,7
1560,7
1561,6
1562,5
1563,6
1564,3
1565,2
1566,4
1567,7
1568,3
1569,7
1570,2
1571,6
1572,5
1573,2
1574,3
1575,7
1576,7
1577,6
1578,5
1579,3
1580,2
1581,3
1582,3
1583,7
1584,4
1585,6
1586,6
1587,4
1588,3
1589,5
1590,7
1591,5
1592,7
1593,2
1594,3
1595,5
1596,6
1597,6
1598,3
1599,1
1600,4
1601,4
1602,1
1603,7
1604,3
1605,6
1606,4
1607,3
1608,4
1609,6
1610,3
1611,7
1612,6
1613,4
1614,1
1615,5
1616,7
1617,4
1618,2
1619,2
1620,5
1621,4
1622,1
1623,3
1624,7
1625,1
1626,3
1627,7
1628,2
1629,4
1630,3
1631,2
1632,1
1633,6
1634,5
1635,6
1636,1
1637,4
1638,3
1639,5
1640,6
1641,7
1642,3
1643,7
1644,6
1645,4
1646,6
1647,3
1648,6
1649,2
1650,5
1651,4
1652,6
1653,5
1654,4
1655,6
1656,3
1657,3
1658,7
1659,6
1660,1
1661,3
1662,2
1663,6
1664,3
1665,6
1666,7
1667,7
1668,5
1669,1
1670,3
1671,7
1672,4
1673,6
1674,1
1675,6
1676,1
1677,3
1678,6
1679,7
1680,5
1681,7
1682,2
1683,6
1684,2
1685,7
1686,3
1687,6
1688,7
1689,7
1690,3
1691,6
1692,4
1693,5
1694,2
1695,6
1696,3
1697,6
1698,3
1699,7
1700,7
1701,6
1702,5
1703,3
1704,4
1705,6
1706,1
1707,5
1708,6
1709,7
1710,6
1711,3
1712,6
1713,6
1714,6
1715,7
1716,6
1717,3
1718,3
1719,2
1720,7
1721,6
1722,3
1723,7
1724,6
1725,7
1726,6
1727,7
1728,2
1729,6
1730,2
1731,5
1732,3
1733,6
1734,6
1735,2
1736,7
1737,5
1738,7
1739,7
1740,3
1741,6
1742,1
1743,6
1744,6
1745,7
1746,6
1747,3
1748,4
1749,6
1750,6
1751,3
1752,6
1753,7
1754,7
1755,3
1756,2
1757,3
1758,4
1759,7
1760,7
1761,7
1762,3
1763,2
1764,4
1765,1
1766,6
1767,4
1768,4
1769,4
1770,5
1771,3
1772,5
1773,5
1774,3
1775,2
1776,3
1777,6
1778,7
1779,7
1780,4
1781,4
1782,5
1783,7
1784,1
1785,5
1786,4
1787,3
1788,7
1789,7
1790,7
1791,7
1792,7
1793,6
1794,5
1795,3
1796,4
1797,4
1798,4
1799,7
1800,7
1801,6
1802,5
1803,7
1804,5
1805,7
1806,3
1807,4
1808,7
1809,7
1810,6
1811,2
1812,5
1813,3
1814,7
1815,3
1816,6
1817,6
1818,7
1819,5
1820,6
1821,7
1822,6
1823,7
1824,6
1825,3
1826,7
1827,3
1828,4
1829,6
1830,2
1831,6
1832,6
1833,3
1834,6
1835,7
1836,4
1837,1
1838,3
1839,3
1840,6
1841,3
1842,7
1843,5
1844,6
1845,3
1846,7
1847,7
1848,3
1849,6
1850,6
1851,5
1852,6
1853,6
1854,4
1855,4
1856,6
1857,3
1858,7
1859,6
1860,3
1861,3
1862,7
1863,7
1864,7
1865,5
1866,2
1867,7
1868,6
1869,5
1870,7
1871,7
1872,6
1873,2
1874,1
1875,7
1876,7
1877,7
1878,6
1879,7
1880,7
1881,3
1882,7
1883,3
1884,4
1885,3
1886,4
1887,6
1888,3
1889,5
1890,7
1891,3
1892,5
1893,6
1894,3
1895,7
1896,6
1897,3
1898,2
1899,6
1900,3
1901,5
1902,4
1903,5
1904,7
1905,4
1906,2
1907,3
1908,2
1909,1
1910,4
1911,5
1912,2
1913,4
1914,3
1915,4
1916,3
1917,3
1918,5
1919,2
1920,3
1921,6
1922,3
1923,7
1924,7
1925,1
1926,3
1927,4
1928,3
1929,6
1930,3
1931,3
1932,6
1933,7
1934,2
1935,7
1936,7
1937,2
1938,7
1939,1
1940,1
1941,7
1942,5
1943,2
1944,4
1945,7
1946,5
1947,6
1948,4
1949,4
1950,1
1951,3
1952,6
1953,6
1954,3
1955,5
1956,7
1957,7
1958,7
1959,7
1960,7
1961,7
1962,7
1963,1
1964,6
1965,1
1966,4
1967,7
1968,4
1969,7
1970,6
1971,6
1972,7
1973,3
1974,4
1975,2
1976,3
1977,5
1978,6
1979,5
1980,3
1981,1
1982,6
1983,6
1984,3
1985,3
1986,2
1987,7
1988,7
1989,4
1990,6
1991,3
1992,3
1993,7
1994,6
1995,6
1996,7
1997,7
1998,3
1999,2
2000,7
2001,6
2002,3
2003,5
2004,7
2005,5
2006,4
2007,4
2008,4
2009,3
2010,6
2011,3
2012,3
2013,3
2014,3
2015,6
2016,2
2017,7
2018,6
2019,3
2020,6
2021,3
2022,3
2023,7
2024,6
2025,7
2026,6
2027,3
2028,6
2029,7
2030,6
2031,5
2032,5
2033,7
2034,7
2035,7
2036,4
2037,3
2038,7
2039,1
2040,3
2041,7
2042,5
2043,3
2044,6
2045,5
2046,6
2047,7
2048,3
2049,6
2050,6
2051,1
2052,3
2053,5
2054,1
2055,3
2056,7
2057,7
2058,1
2059,4
2060,6
2061,7
2062,5
2063,1
2064,6
2065,5
2066,5
2067,2
2068,2
2069,6
2070,7
2071,3
2072,6
2073,5
2074,6
2075,6
2076,2
2077,7
2078,3
2079,1
2080,7
2081,7
2082,6
2083,6
2084,7
2085,3
2086,1
2087,5
2088,6
2089,3
2090,2
2091,7
2092,3
2093,6
2094,7
2095,3
2096,3
2097,3
2098,6
2099,1
2100,4
2101,5
2102,5
2103,3
2104,7
2105,6
2106,2
2107,3
2108,2
2109,3
2110,3
2111,3
2112,7
2113,3
2114,6
2115,6
2116,3
2117,7
2118,4
2119,7
2120,3
2121,6
2122,6
2123,7
2124,5
2125,3
2126,7
2127,2
2128,7
2129,3
2130,7
2131,6
2132,1
2133,7
2134,4
2135,2
2136,6
2137,3
2138,5
2139,7
2140,2
2141,4
2142,1
2143,4
2144,7
2145,2
2146,2
2147,7
2148,4
2149,3
2150,3
2151,4
2152,3
2153,5
2154,7
2155,7
2156,3
2157,4
2158,7
2159,7
2160,7
2161,7
2162,5
2163,4
2164,3
2165,7
2166,3
2167,3
2168,3
2169,6
2170,4
2171,5
2172,7
2173,7
2174,2
2175,3
2176,6
2177,5
2178,6
2179,7
2180,2
2181,7
2182,3
2183,3
2184,7
2185,3
2186,7
2187,4
2188,3
2189,1
2190,7
2191,1
2192,7
2193,6
2194,5
2195,3
2196,7
2197,3
2198,6
2199,7
2200,7
2201,7
2202,4
2203,7
2204,6
2205,6
2206,4
2207,6
2208,2
2209,4
2210,7
2211,4
2212,4
2213,1
2214,6
2215,7
2216,1
2217,7
2218,1
2219,7
2220,2
2221,6
2222,3
2223,7
2224,7
2225,7
2226,7
2227,6
2228,7
2229,5
2230,4
2231,5
2232,4
2233,7
2234,3
2235,5
2236,1
2237,7
2238,1
2239,3
2240,3
2241,3
2242,7
2243,7
2244,7
2245,6
2246,7
2247,3
2248,6
2249,4
2250,5
2251,1
2252,4
2253,4
2254,3
2255,6
2256,3
2257,7
2258,3
2259,7
2260,6
2261,5
2262,6
2263,7
2264,7
2265,3
2266,6
2267,1
2268,3
2269,3
2270,3
2271,4
2272,7
2273,6
2274,7
2275,7
2276,5
2277,3
2278,7
2279,7
2280,3
2281,3
2282,4
2283,5
2284,6
2285,5
2286,7
2287,7
2288,3
2289,3
2290,6
2291,3
2292,3
2293,4
2294,6
2295,2
2296,4
2297,7
2298,5
2299,3
2300,7
2301,6
2302,5
2303,5
2304,3
2305,4
2306,6
2307,3
2308,7
2309,7
2310,7
2311,5
2312,6
2313,4
2314,7
2315,6
2316,5
2317,3
2318,2
2319,4
2320,1
2321,3
2322,6
2323,4
2324,7
2325,7
2326,3
2327,5
2328,7
2329,7
2330,4
2331,7
2332,5
2333,7
2334,5
2335,6
2336,7
2337,3
2338,2
2339,7
2340,7
2341,1
2342,5
2343,3
2344,7
2345,3
2346,4
2347,6
2348,3
2349,6
2350,7
2351,5
2352,3
2353,1
2354,7
2355,2
2356,4
2357,7
2358,6
2359,3
2360,7
2361,4
2362,7
2363,3
2364,4
2365,7
2366,7
2367,4
2368,4
2369,2
2370,7
2371,7
2372,4
2373,7
2374,7
2375,6
2376,3
2377,5
2378,3
2379,3
2380,5
2381,7
2382,4
2383,7
2384,4
2385,6
2386,1
2387,1
2388,6
2389,1
2390,7
2391,5
2392,6
2393,7
2394,7
2395,5
2396,2
2397,7
2398,7
2399,3
2400,7
2401,6
2402,6
2403,7
2404,7
2405,6
2406,7
2407,2
2408,2
2409,7
2410,6
2411,5
2412,6
2413,4
2414,5
2415,6
2416,7
2417,7
2418,3
2419,6
2420,4
2421,4
2422,6
2423,7
2424,4
2425,7
2426,7
2427,3
2428,6
2429,3
2430,5
2431,4
2432,3
2433,7
2434,7
2435,5
2436,5
2437,3
2438,1
2439,2
2440,7
2441,7
2442,7
2443,1
2444,3
2445,2
2446,6
2447,4
2448,4
2449,6
2450,3
2451,7
2452,5
2453,2
2454,5
2455,6
2456,7
2457,3
2458,4
2459,4
2460,3
2461,3
2462,7
2463,6
2464,7
2465,4
2466,4
2467,3
2468,2
2469,5
2470,7
2471,3
2472,7
2473,5
2474,4
2475,3
2476,3
2477,3
2478,4
2479,3
2480,1
2481,7
2482,7
2483,6
2484,3
2485,7
2486,3
2487,7
2488,7
2489,6
2490,1
2491,5
2492,7
2493,6
2494,3
2495,6
2496,2
2497,5
2498,1
2499,2
2500,7
2501,4
2502,4
2503,6
2504,6
2505,5
2506,7
2507,7
2508,6
2509,2
2510,3
2511,5
2512,6
2513,5
2514,6
2515,3
2516,6
2517,6
2518,6
2519,6
2520,3
2521,6
2522,7
2523,6
2524,5
2525,7
2526,3
2527,6
2528,3
2529,6
2530,1
2531,3
2532,3
2533,7
2534,4
2535,5
2536,2
2537,5
2538,6
2539,7
2540,3
2541,6
2542,7
2543,6
2544,2
2545,7
2546,3
2547,1
2548,3
2549,6
2550,4
2551,5
2552,5
2553,7
2554,7
2555,5
2556,1
2557,1
2558,3
2559,1
2560,5
2561,4
2562,3
2563,6
2564,4
2565,1
2566,7
2567,3
2568,3
2569,3
2570,7
2571,5
2572,6
2573,7
2574,3
2575,6
2576,6
2577,7
2578,7
2579,7
2580,5
2581,4
2582,5
2583,7
2584,3
2585,2
2586,6
2587,4
2588,1
2589,7
2590,3
2591,2
2592,2
2593,3
2594,3
2595,3
2596,4
2597,5
2598,7
2599,2
2600,7
2601,1
2602,4
2603,2
2604,3
2605,6
2606,7
2607,7
2608,2
2609,6
2610,6
2611,6
2612,7
2613,4
2614,6
2615,5
2616,3
2617,6
2618,6
2619,7
2620,6
2621,3
2622,7
2623,4
2624,5
2625,6
2626,7
2627,6
2628,7
2629,3
2630,5
2631,5
2632,4
2633,4
2634,6
2635,3
2636,2
2637,4
2638,4
2639,2
2640,6
2641,3
2642,5
2643,4
2644,4
2645,3
2646,6
2647,2
2648,7
2649,3
2650,6
2651,1
2652,7
2653,3
2654,3
2655,7
2656,3
2657,5
2658,1
2659,7
2660,7
2661,6
2662,7
2663,6
2664,4
2665,6
2666,7
2667,7
2668,7
2669,3
2670,7
2671,3
2672,1
2673,1
2674,5
2675,3
2676,6
2677,5
2678,3
2679,5
2680,5
2681,1
2682,6
2683,2
2684,7
2685,3
2686,6
2687,7
2688,7
2689,3
2690,4
2691,3
2692,7
2693,4
2694,3
2695,4
2696,1
2697,3
2698,3
2699,6
2700,5
2701,4
2702,3
2703,4
2704,3
2705,3
2706,2
2707,3
2708,6
2709,7
2710,6
2711,2
2712,6
2713,7
2714,1
2715,7
2716,2
2717,5
2718,4
2719,7
2720,1
2721,7
2722,3
2723,5
2724,6
2725,5
2726,6
2727,1
2728,1
2729,4
2730,6
2731,7
2732,4
2733,7
2734,3
2735,3
2736,4
2737,5
2738,7
2739,2
2740,3
2741,4
2742,6
2743,7
2744,7
2745,1
2746,6
2747,6
2748,6
2749,7
2750,5
2751,5
2752,3
2753,2
2754,4
2755,5
2756,3
2757,3
2758,6
2759,3
2760,2
2761,7
2762,1
2763,4
2764,7
2765,4
2766,7
2767,3
2768,7
2769,7
2770,6
2771,1
2772,4
2773,1
2774,6
2775,3
2776,3
2777,3
2778,7
2779,7
2780,4
2781,3
2782,3
2783,6
2784,3
2785,3
2786,6
2787,7
2788,7
2789,4
2790,4
2791,6
2792,7
2793,3
2794,3
2795,7
2796,7
2797,5
2798,5
2799,3
2800,5
2801,6
2802,3
2803,4
2804,4
2805,6
2806,7
2807,3
2808,3
2809,7
2810,4
2811,3
2812,3
2813,7
2814,5
2815,6
2816,7
2817,3
2818,6
2819,7
2820,5
2821,6
2822,5
2823,6
2824,4
2825,7
2826,3
2827,1
2828,6
2829,6
2830,7
2831,2
2832,5
2833,3
2834,1
2835,4
2836,1
2837,7
2838,3
2839,7
2840,3
2841,6
2842,4
2843,3
2844,1
2845,5
2846,7
2847,5
2848,7
2849,3
2850,1
2851,6
2852,4
2853,3
2854,4
2855,4
2856,4
2857,1
2858,3
2859,2
2860,5
2861,2
2862,6
2863,7
2864,7
2865,3
2866,6
2867,3
2868,3
2869,5
2870,5
2871,4
2872,5
2873,5
2874,5
2875,5
2876,3
2877,5
2878,2
2879,6
2880,7
2881,3
2882,5
2883,7
2884,3
2885,3
2886,6
2887,5
2888,4
2889,3
2890,4
2891,1
2892,4
2893,3
2894,3
2895,3
2896,2
2897,1
2898,1
2899,3
2900,3
2901,6
2902,6
2903,4
2904,7
2905,4
2906,6
2907,6
2908,1
2909,4
2910,6
2911,4
2912,6
2913,7
2914,2
2915,7
2916,6
2917,3
2918,7
2919,6
2920,6
2921,1
2922,6
2923,5
2924,6
2925,7
2926,4
2927,7
2928,5
2929,7
2930,3
2931,6
2932,7
2933,3
2934,6
2935,5
2936,5
2937,6
2938,3
2939,1
2940,6
2941,4
2942,4
2943,2
2944,6
2945,5
2946,5
2947,6
2948,3
2949,7
2950,6
2951,6
2952,7
2953,2
2954,4
2955,7
2956,7
2957,3
2958,2
2959,6
2960,6
2961,7
2962,3
2963,1
2964,7
2965,1
2966,4
2967,7
2968,6
2969,6
2970,2
2971,6
2972,6
2973,7
2974,6
2975,7
2976,4
2977,3
2978,6
2979,2
2980,1
2981,6
2982,7
2983,6
2984,5
2985,5
2986,7
2987,7
2988,7
2989,3
2990,1
2991,2
2992,3
2993,4
2994,3
2995,6
